#SimpleGazeTrackerDataFile
#TRACKER_VERSION,0.11.1
#DATAFORMAT,T,X,Y,P
#RECORDED_EYE,L
#SCREEN_ORIGIN,BottomLeft
#TRACKER_ORIGIN,BottomLeft
#SCREEN_WIDTH,1024
#SCREEN_HEIGHT,768
#DOTS_PER_CENTIMETER_H,24.26
#DOTS_PER_CENTIMETER_V,24.26
#VIEWING_DISTANCE,57.29577951308232
#SACCADE_VELOCITY_THRESHOLD,20.0
#SACCADE_ACCELERATION_THRESHOLD,3800.0
#SACCADE_MINIMUM_DURATION,12
#SACCADE_MINIMUM_AMPLITUDE,0.2
#FIXATION_MINIMUM_DURATION,12
#BLINK_MINIMUM_DURATION,50
#RESAMPLING,0
#FILTER_TYPE,identity
#FILTER_WN,0.2
#FILTER_SIZE,5
#FILTER_ORDER,3
#START_REC,2022,3,10,12,23,37
#MESSAGE,0,starting task
#XPARAM,-34.150705,-8.009614,19.821231
#YPARAM,3.658856,-28.136984,-541.563181
#CALPOINT,-500.000000,400.000000,-51.224028,40.023050,3.853465,3.383972
#CALPOINT,-500.000000,0.000000,341.234961,-174.399847,4.376496,9.456296
#CALPOINT,0.000000,400.000000,-30.736720,10.839807,6.564305,4.441939
#CALPOINT,-500.000000,-400.000000,-104.523128,2.958329,6.936598,4.695026
#CALPOINT,500.000000,-400.000000,-126.180666,33.878883,6.013753,3.125618
#CALPOINT,500.000000,0.000000,-110.537812,-90.954708,8.040215,24.164712
#CALPOINT,0.000000,-400.000000,138.695017,241.583113,4.411401,1.703873
#CALPOINT,0.000000,0.000000,-98.617877,-31.136609,9.610864,37.766242
#CALPOINT,500.000000,400.000000,41.890255,-32.792017,5.327299,1.76202
1093.726,-198.7,-120.5,2015.4
1109.578,-326.4,-75.2,1979.0
1124.229,-306.5,-60.2,2007.5
1139.012,-275.2,-73.7,1964.0
1153.332,-274.5,-62.4,1974.6
1171.705,-314.7,-59.6,2055.8
1187.248,-277.1,-67.6,1982.8
1202.289,-293.5,-64.1,2017.0
1216.324,-283.6,-77.7,1959.9
1234.655,-288.1,-68.4,1987.8
1249.543,-300.1,-79.1,1966.7
1271.921,-312.6,-55.2,2016.9
1286.953,-287.8,-75.6,1903.7
1302.26,-301.1,-43.2,1995.7
1317.212,-245.3,-50.0,1856.1
1345.936,-342.6,-56.8,1855.3
1361.008,-339.4,-51.8,1809.1
1376.321,-115.0,-133.0,1429.3
1390.342,-117.3,-138.5,1399.6
1404.458,-109.2,-139.1,1363.1
1418.62,-110.2,-133.2,1339.5
1433.436,-115.1,-136.4,1306.7
1447.739,-174.4,-170.3,1289.4
1461.926,-157.6,-140.3,1264.7
1476.109,-59.1,-83.4,1224.9
1490.015,-0.0,-31.0,1191.1
1503.819,18.7,-31.1,1176.6
1517.709,10.9,-26.2,1164.0
1531.571,15.7,-24.1,1143.5
1545.455,16.8,-24.3,1122.7
1558.958,30.6,-21.8,1108.0
1572.255,24.3,-20.3,1086.2
1585.446,25.2,-17.0,1073.5
1599.72,27.5,-23.6,1059.1
1613.328,27.4,-18.8,1046.1
1626.641,28.2,-23.5,1028.2
1640.243,28.1,-24.9,1018.5
1653.825,24.2,-20.5,1005.7
1667.725,28.4,-24.9,992.1
1681.534,32.4,-23.5,983.2
1695.829,23.3,-19.7,969.3
1709.338,32.5,-14.6,965.0
1723.052,23.7,-14.8,953.1
1736.402,30.5,-18.0,944.6
1750.161,22.3,-19.2,933.2
1763.516,27.5,-20.7,929.7
1776.851,22.6,-14.2,918.5
1790.509,24.9,-17.1,914.1
1803.411,18.8,-17.6,909.3
1816.616,22.2,-18.5,899.8
1829.728,16.3,-20.1,899.5
1843.182,15.4,-19.1,896.0
1856.765,14.6,-18.0,891.9
1869.954,0.3,-14.2,889.5
1882.988,-15.7,-11.1,885.8
1895.649,94.9,-15.0,867.2
1908.543,160.9,-18.1,860.6
1925.412,158.2,-12.8,860.4
1947.063,157.2,-17.5,850.4
1962.045,167.1,-18.1,844.4
1974.77,170.7,-17.8,843.7
1988.354,160.9,-18.2,837.1
2002.216,163.3,-19.4,834.1
2015.463,166.2,-21.8,829.8
2028.771,180.0,-23.5,827.9
2041.532,182.3,-25.8,818.3
2054.676,174.3,-20.9,816.0
2067.673,185.0,-21.8,813.4
2080.377,179.4,-22.4,807.4
2092.846,185.8,-30.8,803.8
2107.021,187.1,-39.6,803.7
2119.429,193.4,-39.9,799.1
2131.854,192.5,-44.4,793.8
2144.706,184.8,-48.0,794.8
2157.737,195.9,-47.3,792.4
2170.302,243.5,-39.6,789.2
2182.89,159.7,-39.1,791.6
2195.207,55.7,-39.1,795.8
2207.907,25.3,-37.0,789.7
2220.6,32.6,-46.0,784.4
2234.123,33.7,-45.1,781.9
2247.011,16.8,-47.2,782.7
2259.951,16.6,-43.1,778.3
2273.262,17.0,-32.8,775.6
2286.279,21.6,-30.6,773.1
2299.049,27.0,-19.8,776.8
2312.573,30.2,-22.3,773.2
2325.381,24.9,-25.0,768.8
2338.347,38.4,-23.8,768.0
2350.838,41.0,-27.6,768.3
2363.738,47.7,-31.0,767.4
2376.525,37.9,-47.9,766.1
2389.843,46.2,-54.5,761.0
2402.581,43.8,-58.0,758.5
2415.057,45.8,-79.1,756.7
2428.191,28.8,-54.6,755.9
2440.945,78.7,-52.7,748.9
2454.41,103.4,-41.4,748.9
2467.602,96.3,-45.2,747.6
2480.495,92.0,-44.3,745.2
2493.501,81.3,-13.6,720.5
2506.143,81.5,-13.3,718.9
2519.293,65.7,-23.5,720.6
2533.06,58.6,-74.4,741.7
2546.929,48.3,-61.8,719.8
2560.374,44.6,-72.8,725.4
2574.277,47.4,-110.2,740.3
2588.11,39.1,-87.1,721.8
2602.431,45.6,-89.9,727.5
2616.191,46.6,-122.3,750.5
2630.217,57.3,-124.0,755.4
2643.977,88.3,-135.4,757.6
2658.856,193.7,-178.6,761.3
2673.803,-47.5,-70.4,756.3
2688.413,-141.9,-44.7,764.4
2703.439,-126.8,-47.4,766.3
2718.795,-124.7,-30.4,774.8
2733.738,-128.6,-4.2,780.1
2749.446,-123.9,-29.2,809.6
2764.395,-128.0,-28.1,815.1
2779.743,-130.3,-12.8,817.2
2794.81,-132.1,-4.0,824.7
2809.513,-140.5,-4.6,831.4
2824.921,-156.4,-14.5,835.4
2839.383,-152.7,-21.3,839.0
2868.584,-161.7,-24.0,843.1
2882.46,-176.2,-23.8,852.6
2896.751,-198.4,-28.6,848.7
